fuID,sID,Description
LOC_TD.105_2002,PP37_2008,National (Current Regulation)
LOC_TD.105C_2002,PP37_2008,National (Current Regulation)
LOC_TD.106_2002,PP37_2008,National (Current Regulation)
LOC_TD.106A_2002,PP37_2008,National (Current Regulation)
LOC_TD.107_2002,PP37_2008,National (Current Regulation)
LOC_TD.107A_2002,PP37_2008,National (Current Regulation)
LOC_TD.107C_2002,PP37_2008,National (Current Regulation)
LOC_TD.108_2002,PP37_2008,National (Current Regulation)
LOC_TD.109_2008,PP37_2008,National (Current Regulation)
LOC_TD.110_2008,PP37_2008,National (Current Regulation)
LOC_TD.110A_2008,PP37_2008,National (Current Regulation)
LOC_TD.111_2008,PP37_2008,National (Current Regulation)
LOC_TD.112_2008,PP37_2008,National (Current Regulation)
LOC_TD.112A_2008,PP37_2008,National (Current Regulation)
LOC_TD.113_2008,PP37_2008,National (Current Regulation)
LOC_TD.113A_2008,PP37_2008,National (Current Regulation)
LOC_TD.113B_2008,PP37_2008,National (Current Regulation)
LOC_TD.114_2008,PP37_2008,National (Current Regulation)
LOC_TD.114A_2008,PP37_2008,National (Current Regulation)
LOC_TD.115_2002,PP37_2008,National (Current Regulation)
LOC_TD.116_2002,PP37_2008,National (Current Regulation)
LOC_TD.117_2002,PP37_2008,National (Current Regulation)
LOC_TD.118_2002,PP37_2008,National (Current Regulation)
LOC_TD.120_2002,PP37_2008,National (Current Regulation)
LOC_TD.121_2002,PP37_2008,National (Current Regulation)
LOC_TD.122_2002,PP37_2008,National (Current Regulation)
LOC_TD.123_2002,PP37_2008,National (Current Regulation)
LOC_TD.123A_2002,PP37_2008,National (Current Regulation)
LOC_TD.124_2002,PP37_2008,National (Current Regulation)
LOC_TD.125_2002,PP37_2008,National (Current Regulation)
LOC_TD.125A_2002,PP37_2008,National (Current Regulation)
LOC_TD.128B_2002,PP37_2008,National (Current Regulation)
LOC_TD.128_2002,PP37_2008,National (Current Regulation)
LOC_TD.129_2002,PP37_2008,National (Current Regulation)
LOC_TD.130A_2002,PP37_2008,National (Current Regulation)
LOC_TD.130_2002,PP37_2008,National (Current Regulation)
LOC_TD.131_2002,PP37_2008,National (Current Regulation)
LOC_TD.133_2002,PP37_2008,National (Current Regulation)
LOC_TD.134A_2002,PP37_2008,National (Current Regulation)
LOC_TD.134_2002,PP37_2008,National (Current Regulation)
LOC_TD.135_2002,PP37_2008,National (Current Regulation)
LOC_TD.138_2002,PP37_2008,National (Current Regulation)
