saID,GM_Object,Location,BSL_Type
BSL_069,"MultiLineString ((138.90638900000010381 -8.43583299999994551, 139.43638900000007652 -8.26972199999994473))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_070,"MultiLineString ((137.65777800000000752 -8.44555599999995366, 138.90638900000010381 -8.43583299999994551))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_071,"MultiLineString ((137.69000000000005457 -8.21361099999995758, 137.68570780500010642 -8.22784966099993653, 137.67993495400003212 -8.25006298499994273, 137.6648001830000112 -8.30622826399996939, 137.63889761600000838 -8.41301192799994624, 137.63839239800006453 -8.41543492199997445, 137.6385267670000303 -8.4193260509999277, 137.63862781100010579 -8.42134521199994879, 137.64027818700003536 -8.42763826199995947, 137.64108653300002061 -8.42915263499997991, 137.64240679200008799 -8.4313283739999747, 137.64516864100005478 -8.43563591399993129, 137.64988399300011679 -8.44065016599995488, 137.6548133000001144 -8.4444050239999342, 137.65777800000000752 -8.44555599999995366))",Arafura Sea,Common Baseline (Garis Pangkal Biasa)
BSL_072,"MultiLineString ((137.84722200000010162 -7.82444399999997131, 137.69000000000005457 -8.21361099999995758))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_073,"MultiLineString ((138.39972200000011071 -6.35861099999993939, 137.84722200000010162 -7.82444399999997131))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_074,"MultiLineString ((138.05611100000010083 -5.97916699999996126, 138.39972200000011071 -6.35861099999993939))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_075,"MultiLineString ((137.71861100000000988 -5.38722199999995155, 138.05611100000010083 -5.97916699999996126))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_076,"MultiLineString ((136.75972200000001067 -4.90666699999997036, 137.71861100000000988 -5.38722199999995155))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_077,"MultiLineString ((136.12055600000007871 -4.64472199999994473, 136.75972200000001067 -4.90666699999997036))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_078,"MultiLineString ((134.81805600000006962 -5.59499999999997044, 136.12055600000007871 -4.64472199999994473))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
